Année;Pays;Consommation_charbon;Production_charbon;Variation_pct_consommation_charbon;Variation_pct_production_charbon;Demande_électricité;Production_électricité;Électricité_biocarburants;Électricité_charbon;Variation_pct_consommation_énergie;Variation_pct_consommation_fossile;Consommation_combustibles_fossiles;Électricité_fossile;Consommation_pétrole;Variation_pct_consommation_pétrole;Électricité_pétrole;Variation_pct_production_pétrole;Production_pétrole;Variation_pct_consommation_gaz;Variation_pct_production_gaz;Consommation_gaz;Production_gaz;Électricité_gaz;Variation_pct_production_gaz;Consommation_nucléaire;Électricité_nucléaire;Consommation_hydroélectrique;Consommation_renouvelables;Émissions_gaz_effet_de_serre;Population
2007;Germany;1008.287;632.836;2.54;1.996;615.75;632.31;24.62;297.1;-4.159;-4.36;3214.107;402.4;1319.459;-9.455;25.28;-1.829;42.077;-3.664;-8.398;886.362;149.697;80.02;-8.398;381.321;140.53;59.861;297.996;308.99;81183832.0
2008;Germany;931.808;582.616;-7.585;-7.936;613.1;633.2;28.02;275.21;1.059;0.366;3225.884;390.43;1399.069;6.034;24.52;-9.279;38.173;0.975;-8.916;895.006;136.351;90.7;-8.916;401.18;148.49;57.446;307.597;296.65;81217488.0
2009;Germany;834.292;539.803;-10.465;-7.348;576.67;588.94;30.89;253.45;-6.163;-6.431;3018.432;358.07;1339.838;-4.234;22.07;-8.584;34.896;-5.665;-6.519;844.301;127.462;82.55;-6.519;361.601;134.93;53.148;312.147;273.66;81260624.0
2010;Germany;896.172;533.795;7.417;-1.113;609.69;624.64;33.92;262.89;4.197;3.846;3134.529;378.9;1357.644;1.329;25.34;-10.91;31.089;4.313;-12.727;880.712;111.24;90.67;-12.727;374.362;140.56;58.157;338.26;288.71;81325088.0
2011;Germany;910.791;543.482;1.631;1.815;601.4;605.17;36.89;262.46;-3.55;-3.25;3032.669;373.16;1313.271;-3.268;23.12;4.082;32.358;-8.187;-5.92;808.607;104.655;87.58;-5.92;285.821;107.97;48.748;392.096;286.0;81423384.0
2012;Germany;936.074;555.595;2.776;2.229;599.85;620.39;43.2;276.23;1.383;0.656;3052.564;377.89;1305.389;-0.6;23.66;0.274;32.446;0.308;-9.594;811.101;94.614;78.0;-9.594;261.694;99.46;59.651;447.656;294.78;81545568.0
2013;Germany;963.399;524.756;2.919;-5.551;598.96;631.15;45.51;288.2;2.834;3.107;3147.405;381.52;1334.262;2.212;24.27;0.83;32.716;4.764;-9.061;849.743;86.041;69.05;-9.061;254.443;97.29;62.679;466.672;301.4;81680592.0
2014;Germany;925.895;513.276;-3.893;-2.188;586.07;619.95;48.29;274.41;-4.086;-5.854;2963.163;360.28;1298.318;-2.694;23.27;-6.742;30.51;-13.038;-6.06;738.95;80.827;62.6;-6.06;252.5;97.13;53.063;494.797;287.1;81858824.0
2015;Germany;915.056;497.909;-1.171;-2.994;592.29;640.57;50.33;272.2;1.897;0.606;2981.134;359.99;1296.542;-0.137;24.42;-0.051;30.494;4.139;-6.907;769.536;75.244;63.37;-6.907;237.191;91.79;51.105;562.533;287.23;82073232.0
2016;Germany;889.935;460.972;-2.745;-7.418;592.45;642.97;50.93;261.75;1.641;2.716;3062.101;368.67;1323.319;2.065;24.3;-2.805;29.639;10.306;-7.993;848.847;69.23;82.62;-7.993;217.415;84.63;55.002;563.367;288.07;82331432.0
